"filename", "language", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/dmattox10/Git/fj-50points/client/src/App.js", "JavaScript", 35, 0, 0, 8, 43
"/Users/dmattox10/Git/fj-50points/client/src/CSS/index.css", "CSS", 0, 12, 0, 2, 14
"/Users/dmattox10/Git/fj-50points/client/src/components/Footer.js", "JavaScript", 29, 0, 0, 3, 32
"/Users/dmattox10/Git/fj-50points/client/src/components/Header.js", "JavaScript", 7, 0, 0, 4, 11
"/Users/dmattox10/Git/fj-50points/client/src/components/Loading.js", "JavaScript", 7, 0, 0, 6, 13
"/Users/dmattox10/Git/fj-50points/client/src/components/Login.js", "JavaScript", 73, 0, 1, 5, 79
"/Users/dmattox10/Git/fj-50points/client/src/components/Play.js", "JavaScript", 8, 0, 0, 2, 10
"/Users/dmattox10/Git/fj-50points/client/src/components/Player.js", "JavaScript", 7, 0, 0, 5, 12
"/Users/dmattox10/Git/fj-50points/client/src/components/PlayerCard.js", "JavaScript", 7, 0, 0, 5, 12
"/Users/dmattox10/Git/fj-50points/client/src/components/Register.js", "JavaScript", 176, 0, 2, 11, 189
"/Users/dmattox10/Git/fj-50points/client/src/components/Settings.js", "JavaScript", 84, 0, 1, 9, 94
"/Users/dmattox10/Git/fj-50points/client/src/components/Setup.js", "JavaScript", 158, 0, 1, 14, 173
"/Users/dmattox10/Git/fj-50points/client/src/components/TabbedView.js", "JavaScript", 60, 0, 0, 8, 68
"/Users/dmattox10/Git/fj-50points/client/src/components/Terms.js", "JavaScript", 7, 0, 0, 5, 12
"/Users/dmattox10/Git/fj-50points/client/src/hooks/useApi.js", "JavaScript", 0, 0, 77, 15, 92
"/Users/dmattox10/Git/fj-50points/client/src/hooks/useDexie.js", "JavaScript", 90, 0, 27, 30, 147
"/Users/dmattox10/Git/fj-50points/client/src/hooks/useStorage.js", "JavaScript", 55, 0, 1, 12, 68
"/Users/dmattox10/Git/fj-50points/client/src/hooks/useWindowSize.js", "JavaScript", 19, 0, 7, 1, 27
"/Users/dmattox10/Git/fj-50points/client/src/index.js", "JavaScript", 14, 0, 0, 2, 16
"/Users/dmattox10/Git/fj-50points/client/src/lib/api.js", "JavaScript", 70, 0, 4, 5, 79
"Total", "-", 906, 12, 121, 152, 1191